Name,Pillar,Format,Status,Platform,Audience,Source,Notes
КПИ су-шефа: 3 цифры,Операционка,Пост,идея,Telegram,Су-шеф;Владелец,Grebenyuk,Какие метрики контролировать на кухне
Система найма поваров,Операционка,Гайд,идея,Telegram;YouTube,Владелец;Рекрутер,Grebenyuk,Как отбирать по навыкам а не по звёздам
4 уровня роста повара,Операционка,Видео,идея,YouTube,Повар;Су-шеф;Владелец,Grebenyuk,От новичка к мастеру
Жалобы гостей: 3 скрипта,Маркетинг,Инструмент,идея,Telegram,Администратор;Владелец,Grebenyuk,Как отвечать на холодное блюдо и долгую доставку
СП с коммерческим партнёром,Кейсы,Кейс,идея,Telegram;YouTube,Повар;Владелец,Grebenyuk,Когда приглашать ком-партнёра 50/50
Точка ноля доставки,Деньги,Пост,черновик,Telegram,Владелец,Grebenyuk,5 цифр: чек 2100 руб маржа 20-22%
Повар vs ресторатор,Кейсы,Пост,черновик,Telegram,Повар;Владелец,Grebenyuk,Реальный опыт открытия и филиалов
Быстрота vs суета,Операционка,Пост,черновик,Telegram,Су-шеф;Повар,Grebenyuk,Точность важнее скорости на кухне
Система вместо звёзд,Операционка,Шортс,черновик,Shorts,Владелец,Grebenyuk,Почему один герой это риск
Повар-производственник,Кейсы,Шортс,черновик,Shorts,Повар,Grebenyuk,Гений на кухне ≠ ресторатор
Запуск несколько вариантов,Операционка,Пост,черновик,Telegram,Владелец;Шеф,Ayaz,5 вариантов блюд за неделю вместо полировки одного
3 цифры перед филиалом,Деньги,Пост,черновик,Telegram,Владелец,Ayaz,Маржа 20-22% спрос в городе средний чек
Анализ конкурентов,Маркетинг,Пост,черновик,Telegram,Владелец,Ayaz,Secret kitchen Farfor Sea zone pizzasushiwok ricer kosmobox Тануки Варибаси
5 шагов запуска доставки,Деньги,Шортс,черновик,Shorts,Владелец,Ayaz,Пошаговый алгоритм без интуиции
Система найма,Операционка,Шортс,черновик,Shorts,Владелец,Ayaz,Структура людей важнее чем звёзды
Пошаговый алгоритм запуска,Деньги,Гайд,идея,YouTube,Владелец,Ayaz,5 шагов от проверки спроса до метрик
Шаблон анализа конкурента,Маркетинг,Инструмент,идея,Telegram,Владелец,Ayaz,Чек-лист: меню маркетинг доставка отзывы
Финмодель перед филиалом,Деньги,Инструмент,идея,Telegram;YouTube,Владелец,Ayaz,3 цифры расчёт ROI таблица решений
Система найма и обучения,Операционка,Гайд,идея,YouTube,Владелец;Су-шеф;Рекрутер,Ayaz,Первые 3 недели новичка процесс обучения
Быстрое тестирование блюд,Операционка,Инструмент,идея,Telegram,Повар;Су-шеф,Ayaz,5 вариантов параллельно за неделю
Зелёная зона доставки,Деньги,Пост,готов,Telegram,Владелец,Grebenyuk,ГОТОВО: 5 цифр которые говорят работает
Открытие филиала: опыт,Кейсы,Пост,готов,Telegram;YouTube,Владелец,Grebenyuk,ГОТОВО: реальный опыт Острогожск Семилуки Рамонь
